reporting_unit,county,rep_unit_2024,tract_GEOID,prop_of_rep_unit_2024
"CITY OF KAUKAUNA WARDS 4-5,16",OUTAGAMIE,"OUTAGAMIE - CITY OF KAUKAUNA WARDS 4-5,16",55087012200,0.11880261927034612
"CITY OF KAUKAUNA WARDS 4-5,16",OUTAGAMIE,"OUTAGAMIE - CITY OF KAUKAUNA WARDS 4-5,16",55087012300,0.10570626753975679
"CITY OF KAUKAUNA WARDS 4-5,16",OUTAGAMIE,"OUTAGAMIE - CITY OF KAUKAUNA WARDS 4-5,16",55087012400,0.07436856875584659
"CITY OF KAUKAUNA WARDS 4-5,16",OUTAGAMIE,"OUTAGAMIE - CITY OF KAUKAUNA WARDS 4-5,16",55087013300,0.18475210477081386
"CITY OF KAUKAUNA WARDS 6-7,17",OUTAGAMIE,"OUTAGAMIE - CITY OF KAUKAUNA WARDS 6-7,17",55087012102,0.743215876873228
"CITY OF KAUKAUNA WARDS 6-7,17",OUTAGAMIE,"OUTAGAMIE - CITY OF KAUKAUNA WARDS 6-7,17",55087012200,0.25678412312677196
"CITY OF KAUKAUNA WARDS 8-11,13-15",OUTAGAMIE,"OUTAGAMIE - CITY OF KAUKAUNA WARDS 8-11,13-15",55087012101,0.4933142311365807
"CITY OF KAUKAUNA WARDS 8-11,13-15",OUTAGAMIE,"OUTAGAMIE - CITY OF KAUKAUNA WARDS 8-11,13-15",55087012102,0.23018147086914995
"CITY OF KAUKAUNA WARDS 8-11,13-15",OUTAGAMIE,"OUTAGAMIE - CITY OF KAUKAUNA WARDS 8-11,13-15",55087013300,0.27650429799426934
CITY OF NEW LONDON WARDS 10-12,OUTAGAMIE,OUTAGAMIE - CITY OF NEW LONDON WARDS 10-12,55087012700,0.985734664764622
CITY OF NEW LONDON WARDS 10-12,OUTAGAMIE,OUTAGAMIE - CITY OF NEW LONDON WARDS 10-12,55087013200,0.014265335235378032
CITY OF SEYMOUR WARDS 1-7,OUTAGAMIE,OUTAGAMIE - CITY OF SEYMOUR WARDS 1-7,55087013100,1
TOWN OF BLACK CREEK WARDS 1-2,OUTAGAMIE,OUTAGAMIE - TOWN OF BLACK CREEK WARDS 1-2,55087012800,1
TOWN OF BOVINA WARDS 1-2,OUTAGAMIE,OUTAGAMIE - TOWN OF BOVINA WARDS 1-2,55087012800,1
TOWN OF BUCHANAN WARDS 1-9,OUTAGAMIE,OUTAGAMIE - TOWN OF BUCHANAN WARDS 1-9,55087011600,0.41291866028708135
TOWN OF BUCHANAN WARDS 1-9,OUTAGAMIE,OUTAGAMIE - TOWN OF BUCHANAN WARDS 1-9,55087012000,0.4325358851674641
TOWN OF BUCHANAN WARDS 1-9,OUTAGAMIE,OUTAGAMIE - TOWN OF BUCHANAN WARDS 1-9,55087012101,0.010047846889952153
TOWN OF BUCHANAN WARDS 1-9,OUTAGAMIE,OUTAGAMIE - TOWN OF BUCHANAN WARDS 1-9,55087013300,0.1444976076555024
TOWN OF CENTER WARDS 1-5,OUTAGAMIE,OUTAGAMIE - TOWN OF CENTER WARDS 1-5,55087012800,7.936507936507937e-4
TOWN OF CENTER WARDS 1-5,OUTAGAMIE,OUTAGAMIE - TOWN OF CENTER WARDS 1-5,55087012902,0.9992063492063492
TOWN OF CICERO WARDS 1-2,OUTAGAMIE,OUTAGAMIE - TOWN OF CICERO WARDS 1-2,55087013200,0.9889064976228209
TOWN OF CICERO WARDS 1-2,OUTAGAMIE,OUTAGAMIE - TOWN OF CICERO WARDS 1-2,55115101100,0.011093502377179081
TOWN OF DALE WARDS 1-4,OUTAGAMIE,OUTAGAMIE - TOWN OF DALE WARDS 1-4,55087012602,1
TOWN OF DEER CREEK WARD 1,OUTAGAMIE,OUTAGAMIE - TOWN OF DEER CREEK WARD 1,55087013200,1
TOWN OF ELLINGTON WARDS 1-5,OUTAGAMIE,OUTAGAMIE - TOWN OF ELLINGTON WARDS 1-5,55087012800,1
TOWN OF FREEDOM WARDS 1-8,OUTAGAMIE,OUTAGAMIE - TOWN OF FREEDOM WARDS 1-8,55087012903,0.5190655209452202
TOWN OF FREEDOM WARDS 1-8,OUTAGAMIE,OUTAGAMIE - TOWN OF FREEDOM WARDS 1-8,55087012904,0.4809344790547798
TOWN OF GRAND CHUTE WARD 8,OUTAGAMIE,OUTAGAMIE - TOWN OF GRAND CHUTE WARD 8,55087012505,1
TOWN OF GRAND CHUTE WARDS 1-5,OUTAGAMIE,OUTAGAMIE - TOWN OF GRAND CHUTE WARDS 1-5,55087011101,0.03361344537815126
TOWN OF GRAND CHUTE WARDS 1-5,OUTAGAMIE,OUTAGAMIE - TOWN OF GRAND CHUTE WARDS 1-5,55087011103,0.34069627851140455
TOWN OF GRAND CHUTE WARDS 1-5,OUTAGAMIE,OUTAGAMIE - TOWN OF GRAND CHUTE WARDS 1-5,55087011104,0.06866746698679471
TOWN OF GRAND CHUTE WARDS 1-5,OUTAGAMIE,OUTAGAMIE - TOWN OF GRAND CHUTE WARDS 1-5,55087012505,0.5570228091236494
TOWN OF GRAND CHUTE WARDS 10-13,OUTAGAMIE,OUTAGAMIE - TOWN OF GRAND CHUTE WARDS 10-13,55087010900,3.4698126301179735e-4
TOWN OF GRAND CHUTE WARDS 10-13,OUTAGAMIE,OUTAGAMIE - TOWN OF GRAND CHUTE WARDS 10-13,55087011001,0.2730742539902845
TOWN OF GRAND CHUTE WARDS 10-13,OUTAGAMIE,OUTAGAMIE - TOWN OF GRAND CHUTE WARDS 10-13,55087012506,0.7265787647467037
"TOWN OF GRAND CHUTE WARDS 14,16",OUTAGAMIE,"OUTAGAMIE - TOWN OF GRAND CHUTE WARDS 14,16",55087011101,0.35898977751052313
"TOWN OF GRAND CHUTE WARDS 14,16",OUTAGAMIE,"OUTAGAMIE - TOWN OF GRAND CHUTE WARDS 14,16",55087012503,0.19723391461214673
"TOWN OF GRAND CHUTE WARDS 14,16",OUTAGAMIE,"OUTAGAMIE - TOWN OF GRAND CHUTE WARDS 14,16",55087012504,0.027660853878532773
"TOWN OF GRAND CHUTE WARDS 14,16",OUTAGAMIE,"OUTAGAMIE - TOWN OF GRAND CHUTE WARDS 14,16",55087012505,0.41611545399879735
"TOWN OF GRAND CHUTE WARDS 15,17,20",OUTAGAMIE,"OUTAGAMIE - TOWN OF GRAND CHUTE WARDS 15,17,20",55087011400,0.6785950960901259
"TOWN OF GRAND CHUTE WARDS 15,17,20",OUTAGAMIE,"OUTAGAMIE - TOWN OF GRAND CHUTE WARDS 15,17,20",55087011502,0.0781974817760106
"TOWN OF GRAND CHUTE WARDS 15,17,20",OUTAGAMIE,"OUTAGAMIE - TOWN OF GRAND CHUTE WARDS 15,17,20",55087012504,0.23194168323392975
"TOWN OF GRAND CHUTE WARDS 15,17,20",OUTAGAMIE,"OUTAGAMIE - TOWN OF GRAND CHUTE WARDS 15,17,20",55087013300,0.01126573889993373
"TOWN OF GRAND CHUTE WARDS 6-7,9,18-19",OUTAGAMIE,"OUTAGAMIE - TOWN OF GRAND CHUTE WARDS 6-7,9,18-19",55087010900,0.01053639846743295
"TOWN OF GRAND CHUTE WARDS 6-7,9,18-19",OUTAGAMIE,"OUTAGAMIE - TOWN OF GRAND CHUTE WARDS 6-7,9,18-19",55087011001,0.04693486590038314
"TOWN OF GRAND CHUTE WARDS 6-7,9,18-19",OUTAGAMIE,"OUTAGAMIE - TOWN OF GRAND CHUTE WARDS 6-7,9,18-19",55087011002,4.789272030651341e-4
"TOWN OF GRAND CHUTE WARDS 6-7,9,18-19",OUTAGAMIE,"OUTAGAMIE - TOWN OF GRAND CHUTE WARDS 6-7,9,18-19",55087011103,0.29693486590038315
"TOWN OF GRAND CHUTE WARDS 6-7,9,18-19",OUTAGAMIE,"OUTAGAMIE - TOWN OF GRAND CHUTE WARDS 6-7,9,18-19",55087011104,0.5953065134099617
"TOWN OF GRAND CHUTE WARDS 6-7,9,18-19",OUTAGAMIE,"OUTAGAMIE - TOWN OF GRAND CHUTE WARDS 6-7,9,18-19",55087012506,0.04980842911877394
TOWN OF HORTONIA WARDS 1-2,OUTAGAMIE,OUTAGAMIE - TOWN OF HORTONIA WARDS 1-2,55087012700,1
TOWN OF KAUKAUNA WARDS 1-3,OUTAGAMIE,OUTAGAMIE - TOWN OF KAUKAUNA WARDS 1-3,55087012400,0.009650180940892641
TOWN OF KAUKAUNA WARDS 1-3,OUTAGAMIE,OUTAGAMIE - TOWN OF KAUKAUNA WARDS 1-3,55087013300,0.9903498190591074
TOWN OF LIBERTY WARD 1,OUTAGAMIE,OUTAGAMIE - TOWN OF LIBERTY WARD 1,55087012700,1
TOWN OF MAINE WARD 1,OUTAGAMIE,OUTAGAMIE - TOWN OF MAINE WARD 1,55087013200,1
TOWN OF MAPLE CREEK WARD 1,OUTAGAMIE,OUTAGAMIE - TOWN OF MAPLE CREEK WARD 1,55087013200,1
TOWN OF ONEIDA WARDS 1-6,OUTAGAMIE,OUTAGAMIE - TOWN OF ONEIDA WARDS 1-6,55087940000,1
TOWN OF OSBORN WARDS 1-2,OUTAGAMIE,OUTAGAMIE - TOWN OF OSBORN WARDS 1-2,55087013100,1
TOWN OF SEYMOUR WARDS 1-2,OUTAGAMIE,OUTAGAMIE - TOWN OF SEYMOUR WARDS 1-2,55087013100,1
TOWN OF VANDENBROEK WARDS 1-3,OUTAGAMIE,OUTAGAMIE - TOWN OF VANDENBROEK WARDS 1-3,55087011901,0.017029328287606435
TOWN OF VANDENBROEK WARDS 1-3,OUTAGAMIE,OUTAGAMIE - TOWN OF VANDENBROEK WARDS 1-3,55087011902,0.008514664143803218
TOWN OF VANDENBROEK WARDS 1-3,OUTAGAMIE,OUTAGAMIE - TOWN OF VANDENBROEK WARDS 1-3,55087012400,0.020813623462630087
TOWN OF VANDENBROEK WARDS 1-3,OUTAGAMIE,OUTAGAMIE - TOWN OF VANDENBROEK WARDS 1-3,55087013300,0.9536423841059603
VILLAGE OF BEAR CREEK WARD 1,OUTAGAMIE,OUTAGAMIE - VILLAGE OF BEAR CREEK WARD 1,55087013200,1
VILLAGE OF BLACK CREEK WARDS 1-2,OUTAGAMIE,OUTAGAMIE - VILLAGE OF BLACK CREEK WARDS 1-2,55087012800,1
VILLAGE OF COMBINED LOCKS WARDS 1-6,OUTAGAMIE,OUTAGAMIE - VILLAGE OF COMBINED LOCKS WARDS 1-6,55087012000,0.9977538185085355
VILLAGE OF COMBINED LOCKS WARDS 1-6,OUTAGAMIE,OUTAGAMIE - VILLAGE OF COMBINED LOCKS WARDS 1-6,55087012102,0.0022461814914645105
VILLAGE OF GREENVILLE WARDS 1-10,OUTAGAMIE,OUTAGAMIE - VILLAGE OF GREENVILLE WARDS 1-10,55087012602,0.2059540613370974
VILLAGE OF GREENVILLE WARDS 1-10,OUTAGAMIE,OUTAGAMIE - VILLAGE OF GREENVILLE WARDS 1-10,55087012603,0.42024894135762864
VILLAGE OF GREENVILLE WARDS 1-10,OUTAGAMIE,OUTAGAMIE - VILLAGE OF GREENVILLE WARDS 1-10,55087012604,0.37379699730527394
VILLAGE OF HORTONVILLE WARDS 1-4,OUTAGAMIE,OUTAGAMIE - VILLAGE OF HORTONVILLE WARDS 1-4,55087012700,1
VILLAGE OF KIMBERLY WARDS 1-9,OUTAGAMIE,OUTAGAMIE - VILLAGE OF KIMBERLY WARDS 1-9,55087011600,0.6396039603960396
VILLAGE OF KIMBERLY WARDS 1-9,OUTAGAMIE,OUTAGAMIE - VILLAGE OF KIMBERLY WARDS 1-9,55087011700,0.3603960396039604
VILLAGE OF LITTLE CHUTE WARDS 1-11,OUTAGAMIE,OUTAGAMIE - VILLAGE OF LITTLE CHUTE WARDS 1-11,55087011502,0.03247219232149264
VILLAGE OF LITTLE CHUTE WARDS 1-11,OUTAGAMIE,OUTAGAMIE - VILLAGE OF LITTLE CHUTE WARDS 1-11,55087011800,0.17007534983853606
VILLAGE OF LITTLE CHUTE WARDS 1-11,OUTAGAMIE,OUTAGAMIE - VILLAGE OF LITTLE CHUTE WARDS 1-11,55087011901,0.2552924291352709
VILLAGE OF LITTLE CHUTE WARDS 1-11,OUTAGAMIE,OUTAGAMIE - VILLAGE OF LITTLE CHUTE WARDS 1-11,55087011902,0.44438464298528885
VILLAGE OF LITTLE CHUTE WARDS 1-11,OUTAGAMIE,OUTAGAMIE - VILLAGE OF LITTLE CHUTE WARDS 1-11,55087012400,0.014352350197344816
VILLAGE OF LITTLE CHUTE WARDS 1-11,OUTAGAMIE,OUTAGAMIE - VILLAGE OF LITTLE CHUTE WARDS 1-11,55087013300,0.08342303552206674
VILLAGE OF NICHOLS WARD 1,OUTAGAMIE,OUTAGAMIE - VILLAGE OF NICHOLS WARD 1,55087013200,1
VILLAGE OF SHIOCTON WARD 1,OUTAGAMIE,OUTAGAMIE - VILLAGE OF SHIOCTON WARD 1,55087012800,1
VILLAGE OF WRIGHTSTOWN WARD 4,OUTAGAMIE,OUTAGAMIE - VILLAGE OF WRIGHTSTOWN WARD 4,55087013300,1
CITY OF CEDARBURG WARD 1,OZAUKEE,OZAUKEE - CITY OF CEDARBURG WARD 1,55089650102,0.17609561752988048
CITY OF CEDARBURG WARD 1,OZAUKEE,OZAUKEE - CITY OF CEDARBURG WARD 1,55089650104,0.8239043824701195
CITY OF CEDARBURG WARD 2,OZAUKEE,OZAUKEE - CITY OF CEDARBURG WARD 2,55089650102,0.1988543371522095
CITY OF CEDARBURG WARD 2,OZAUKEE,OZAUKEE - CITY OF CEDARBURG WARD 2,55089650200,0.31342062193126025
CITY OF CEDARBURG WARD 2,OZAUKEE,OZAUKEE - CITY OF CEDARBURG WARD 2,55089650300,0.4877250409165303
CITY OF CEDARBURG WARD 3,OZAUKEE,OZAUKEE - CITY OF CEDARBURG WARD 3,55089650102,0.33518005540166207
CITY OF CEDARBURG WARD 3,OZAUKEE,OZAUKEE - CITY OF CEDARBURG WARD 3,55089650200,0.6648199445983379
CITY OF CEDARBURG WARD 4,OZAUKEE,OZAUKEE - CITY OF CEDARBURG WARD 4,55089650103,0.3244019138755981
CITY OF CEDARBURG WARD 4,OZAUKEE,OZAUKEE - CITY OF CEDARBURG WARD 4,55089650200,0.6755980861244019
CITY OF CEDARBURG WARD 5,OZAUKEE,OZAUKEE - CITY OF CEDARBURG WARD 5,55089650200,1
CITY OF CEDARBURG WARD 6,OZAUKEE,OZAUKEE - CITY OF CEDARBURG WARD 6,55089650103,0.41006600660066006
CITY OF CEDARBURG WARD 6,OZAUKEE,OZAUKEE - CITY OF CEDARBURG WARD 6,55089650104,0.5899339933993399
CITY OF CEDARBURG WARD 7,OZAUKEE,OZAUKEE - CITY OF CEDARBURG WARD 7,55089650102,0.8287435456110155
CITY OF CEDARBURG WARD 7,OZAUKEE,OZAUKEE - CITY OF CEDARBURG WARD 7,55089650104,0.11617900172117039
CITY OF CEDARBURG WARD 7,OZAUKEE,OZAUKEE - CITY OF CEDARBURG WARD 7,55089650300,0.055077452667814115
CITY OF MEQUON WARD 4,OZAUKEE,OZAUKEE - CITY OF MEQUON WARD 4,55089660301,1
CITY OF MEQUON WARD 5,OZAUKEE,OZAUKEE - CITY OF MEQUON WARD 5,55089660301,1
CITY OF MEQUON WARD 7A,OZAUKEE,OZAUKEE - CITY OF MEQUON WARD 7A,55089660202,0.8181818181818182
CITY OF MEQUON WARD 7A,OZAUKEE,OZAUKEE - CITY OF MEQUON WARD 7A,55089660301,0.18181818181818182
CITY OF MEQUON WARDS 1-3,OZAUKEE,OZAUKEE - CITY OF MEQUON WARDS 1-3,55089660201,0.5415896487985212
CITY OF MEQUON WARDS 1-3,OZAUKEE,OZAUKEE - CITY OF MEQUON WARDS 1-3,55089660202,0.4584103512014787
CITY OF MEQUON WARDS 10-11,OZAUKEE,OZAUKEE - CITY OF MEQUON WARDS 10-11,55089660201,0.905940594059406
CITY OF MEQUON WARDS 10-11,OZAUKEE,OZAUKEE - CITY OF MEQUON WARDS 10-11,55089660202,0.09405940594059406
CITY OF MEQUON WARDS 12-13,OZAUKEE,OZAUKEE - CITY OF MEQUON WARDS 12-13,55089660202,0.41152922337870296
CITY OF MEQUON WARDS 12-13,OZAUKEE,OZAUKEE - CITY OF MEQUON WARDS 12-13,55089660301,0.588470776621297
CITY OF MEQUON WARDS 14-16,OZAUKEE,OZAUKEE - CITY OF MEQUON WARDS 14-16,55089660301,0.48966842864007687
CITY OF MEQUON WARDS 14-16,OZAUKEE,OZAUKEE - CITY OF MEQUON WARDS 14-16,55089660303,0.5103315713599231
CITY OF MEQUON WARDS 17-18,OZAUKEE,OZAUKEE - CITY OF MEQUON WARDS 17-18,55089660303,1
CITY OF MEQUON WARDS 19-20,OZAUKEE,OZAUKEE - CITY OF MEQUON WARDS 19-20,55089660303,0.04434782608695652
CITY OF MEQUON WARDS 19-20,OZAUKEE,OZAUKEE - CITY OF MEQUON WARDS 19-20,55089660304,0.9556521739130435
"CITY OF MEQUON WARDS 6-7,8",OZAUKEE,"OZAUKEE - CITY OF MEQUON WARDS 6-7,8",55089660201,0.6764705882352942
"CITY OF MEQUON WARDS 6-7,8",OZAUKEE,"OZAUKEE - CITY OF MEQUON WARDS 6-7,8",55089660202,0.3235294117647059
CITY OF MEQUON WARDS 9-11A,OZAUKEE,OZAUKEE - CITY OF MEQUON WARDS 9-11A,55089660201,0.21536853110297963
CITY OF MEQUON WARDS 9-11A,OZAUKEE,OZAUKEE - CITY OF MEQUON WARDS 9-11A,55089660202,0.6628332462101412
CITY OF MEQUON WARDS 9-11A,OZAUKEE,OZAUKEE - CITY OF MEQUON WARDS 9-11A,55089660303,0.12179822268687925
CITY OF PORT WASHINGTON WARD 1,OZAUKEE,OZAUKEE - CITY OF PORT WASHINGTON WARD 1,55089630201,1
CITY OF PORT WASHINGTON WARD 2,OZAUKEE,OZAUKEE - CITY OF PORT WASHINGTON WARD 2,55089630100,0.6385321100917432
CITY OF PORT WASHINGTON WARD 2,OZAUKEE,OZAUKEE - CITY OF PORT WASHINGTON WARD 2,55089630201,0.15045871559633028
CITY OF PORT WASHINGTON WARD 2,OZAUKEE,OZAUKEE - CITY OF PORT WASHINGTON WARD 2,55089630202,0.21100917431192662
CITY OF PORT WASHINGTON WARD 3,OZAUKEE,OZAUKEE - CITY OF PORT WASHINGTON WARD 3,55089630100,0.6600594648166501
CITY OF PORT WASHINGTON WARD 3,OZAUKEE,OZAUKEE - CITY OF PORT WASHINGTON WARD 3,55089630201,0.13974231912784935
CITY OF PORT WASHINGTON WARD 3,OZAUKEE,OZAUKEE - CITY OF PORT WASHINGTON WARD 3,55089630202,0.2001982160555005
CITY OF PORT WASHINGTON WARD 5,OZAUKEE,OZAUKEE - CITY OF PORT WASHINGTON WARD 5,55089630202,1
CITY OF PORT WASHINGTON WARD 6,OZAUKEE,OZAUKEE - CITY OF PORT WASHINGTON WARD 6,55089630202,1
CITY OF PORT WASHINGTON WARD 7,OZAUKEE,OZAUKEE - CITY OF PORT WASHINGTON WARD 7,55089630100,0.0971322849213691
CITY OF PORT WASHINGTON WARD 7,OZAUKEE,OZAUKEE - CITY OF PORT WASHINGTON WARD 7,55089630201,0.902867715078631
"CITY OF PORT WASHINGTON WARDS 4,8",OZAUKEE,"OZAUKEE - CITY OF PORT WASHINGTON WARDS 4,8",55089630202,0.5119047619047619
"CITY OF PORT WASHINGTON WARDS 4,8",OZAUKEE,"OZAUKEE - CITY OF PORT WASHINGTON WARDS 4,8",55089640201,0.4880952380952381
TOWN OF BELGIUM WARDS 1-3,OZAUKEE,OZAUKEE - TOWN OF BELGIUM WARDS 1-3,55089610101,0.002127659574468085
TOWN OF BELGIUM WARDS 1-3,OZAUKEE,OZAUKEE - TOWN OF BELGIUM WARDS 1-3,55089610102,0.997872340425532
TOWN OF CEDARBURG WARDS 1-2,OZAUKEE,OZAUKEE - TOWN OF CEDARBURG WARDS 1-2,55089650102,0.021316033364226137
TOWN OF CEDARBURG WARDS 1-2,OZAUKEE,OZAUKEE - TOWN OF CEDARBURG WARDS 1-2,55089650104,0.008341056533827619
TOWN OF CEDARBURG WARDS 1-2,OZAUKEE,OZAUKEE - TOWN OF CEDARBURG WARDS 1-2,55089650200,0.0018535681186283596
TOWN OF CEDARBURG WARDS 1-2,OZAUKEE,OZAUKEE - TOWN OF CEDARBURG WARDS 1-2,55089650300,0.9684893419833179
TOWN OF CEDARBURG WARDS 3-4,OZAUKEE,OZAUKEE - TOWN OF CEDARBURG WARDS 3-4,55089650103,0.10593713620488941
TOWN OF CEDARBURG WARDS 3-4,OZAUKEE,OZAUKEE - TOWN OF CEDARBURG WARDS 3-4,55089650200,0.40046565774155995
TOWN OF CEDARBURG WARDS 3-4,OZAUKEE,OZAUKEE - TOWN OF CEDARBURG WARDS 3-4,55089650300,0.4935972060535506
"TOWN OF CEDARBURG WARDS 5-6,10",OZAUKEE,"OZAUKEE - TOWN OF CEDARBURG WARDS 5-6,10",55089650300,1
TOWN OF CEDARBURG WARDS 7-9,OZAUKEE,OZAUKEE - TOWN OF CEDARBURG WARDS 7-9,55089640102,0.05538694992412747
TOWN OF CEDARBURG WARDS 7-9,OZAUKEE,OZAUKEE - TOWN OF CEDARBURG WARDS 7-9,55089650104,0.03338391502276176
TOWN OF CEDARBURG WARDS 7-9,OZAUKEE,OZAUKEE - TOWN OF CEDARBURG WARDS 7-9,55089650300,0.9112291350531108
TOWN OF FREDONIA WARDS 1-4,OZAUKEE,OZAUKEE - TOWN OF FREDONIA WARDS 1-4,55089610101,1
"TOWN OF GRAFTON WARDS 1-2,5",OZAUKEE,"OZAUKEE - TOWN OF GRAFTON WARDS 1-2,5",55089640102,0.0655840099937539
"TOWN OF GRAFTON WARDS 1-2,5",OZAUKEE,"OZAUKEE - TOWN OF GRAFTON WARDS 1-2,5",55089640201,0.3660212367270456
"TOWN OF GRAFTON WARDS 1-2,5",OZAUKEE,"OZAUKEE - TOWN OF GRAFTON WARDS 1-2,5",55089640202,0.5683947532792005
"TOWN OF GRAFTON WARDS 3-4,6",OZAUKEE,"OZAUKEE - TOWN OF GRAFTON WARDS 3-4,6",55089630202,0.003992015968063872
"TOWN OF GRAFTON WARDS 3-4,6",OZAUKEE,"OZAUKEE - TOWN OF GRAFTON WARDS 3-4,6",55089640201,0.40718562874251496
"TOWN OF GRAFTON WARDS 3-4,6",OZAUKEE,"OZAUKEE - TOWN OF GRAFTON WARDS 3-4,6",55089640202,0.5888223552894212
TOWN OF PORT WASHINGTON WARDS 1-2,OZAUKEE,OZAUKEE - TOWN OF PORT WASHINGTON WARDS 1-2,55089610102,0.00554016620498615
TOWN OF PORT WASHINGTON WARDS 1-2,OZAUKEE,OZAUKEE - TOWN OF PORT WASHINGTON WARDS 1-2,55089630100,0.0018467220683287165
TOWN OF PORT WASHINGTON WARDS 1-2,OZAUKEE,OZAUKEE - TOWN OF PORT WASHINGTON WARDS 1-2,55089630201,0.5817174515235457
TOWN OF PORT WASHINGTON WARDS 1-2,OZAUKEE,OZAUKEE - TOWN OF PORT WASHINGTON WARDS 1-2,55089630202,0.41089566020313945
TOWN OF SAUKVILLE WARDS 1-3,OZAUKEE,OZAUKEE - TOWN OF SAUKVILLE WARDS 1-3,55089620100,1
VILLAGE OF BAYSIDE WARD 6,OZAUKEE,OZAUKEE - VILLAGE OF BAYSIDE WARD 6,55089660304,1
VILLAGE OF BELGIUM WARDS 1-3,OZAUKEE,OZAUKEE - VILLAGE OF BELGIUM WARDS 1-3,55089610102,1
VILLAGE OF FREDONIA WARDS 1-3,OZAUKEE,OZAUKEE - VILLAGE OF FREDONIA WARDS 1-3,55089610101,1
VILLAGE OF GRAFTON WARDS 1-2,OZAUKEE,OZAUKEE - VILLAGE OF GRAFTON WARDS 1-2,55089640102,0.7152428810720268
VILLAGE OF GRAFTON WARDS 1-2,OZAUKEE,OZAUKEE - VILLAGE OF GRAFTON WARDS 1-2,55089640202,0.2847571189279732
VILLAGE OF GRAFTON WARDS 11-12,OZAUKEE,OZAUKEE - VILLAGE OF GRAFTON WARDS 11-12,55089640101,0.2010989010989011
VILLAGE OF GRAFTON WARDS 11-12,OZAUKEE,OZAUKEE - VILLAGE OF GRAFTON WARDS 11-12,55089640202,0.798901098901099
VILLAGE OF GRAFTON WARDS 13-14,OZAUKEE,OZAUKEE - VILLAGE OF GRAFTON WARDS 13-14,55089640201,0.0071492403932082215
VILLAGE OF GRAFTON WARDS 13-14,OZAUKEE,OZAUKEE - VILLAGE OF GRAFTON WARDS 13-14,55089640202,0.9928507596067918
VILLAGE OF GRAFTON WARDS 3-4,OZAUKEE,OZAUKEE - VILLAGE OF GRAFTON WARDS 3-4,55089640102,0.7326732673267327
VILLAGE OF GRAFTON WARDS 3-4,OZAUKEE,OZAUKEE - VILLAGE OF GRAFTON WARDS 3-4,55089640202,0.26732673267326734
VILLAGE OF GRAFTON WARDS 5-6,OZAUKEE,OZAUKEE - VILLAGE OF GRAFTON WARDS 5-6,55089640101,0.9809437386569873
VILLAGE OF GRAFTON WARDS 5-6,OZAUKEE,OZAUKEE - VILLAGE OF GRAFTON WARDS 5-6,55089640202,0.019056261343012703
VILLAGE OF GRAFTON WARDS 7-8,OZAUKEE,OZAUKEE - VILLAGE OF GRAFTON WARDS 7-8,55089640101,0.3791423001949318
VILLAGE OF GRAFTON WARDS 7-8,OZAUKEE,OZAUKEE - VILLAGE OF GRAFTON WARDS 7-8,55089650104,0.6208576998050682
VILLAGE OF GRAFTON WARDS 9-10,OZAUKEE,OZAUKEE - VILLAGE OF GRAFTON WARDS 9-10,55089640101,0.165098374679213
VILLAGE OF GRAFTON WARDS 9-10,OZAUKEE,OZAUKEE - VILLAGE OF GRAFTON WARDS 9-10,55089650103,0.4328485885372113
VILLAGE OF GRAFTON WARDS 9-10,OZAUKEE,OZAUKEE - VILLAGE OF GRAFTON WARDS 9-10,55089650104,0.4020530367835757
VILLAGE OF NEWBURG WARD 3,OZAUKEE,OZAUKEE - VILLAGE OF NEWBURG WARD 3,55089620100,1
"VILLAGE OF SAUKVILLE WARDS 1,6-7",OZAUKEE,"OZAUKEE - VILLAGE OF SAUKVILLE WARDS 1,6-7",55089620100,0.8611332801276935
"VILLAGE OF SAUKVILLE WARDS 1,6-7",OZAUKEE,"OZAUKEE - VILLAGE OF SAUKVILLE WARDS 1,6-7",55089640202,0.13886671987230648
VILLAGE OF SAUKVILLE WARDS 2-5,OZAUKEE,OZAUKEE - VILLAGE OF SAUKVILLE WARDS 2-5,55089620100,0.9954337899543378
VILLAGE OF SAUKVILLE WARDS 2-5,OZAUKEE,OZAUKEE - VILLAGE OF SAUKVILLE WARDS 2-5,55089630202,0.0045662100456621
VILLAGE OF THIENSVILLE WARDS 1-2,OZAUKEE,OZAUKEE - VILLAGE OF THIENSVILLE WARDS 1-2,55089660100,1
VILLAGE OF THIENSVILLE WARDS 3-4,OZAUKEE,OZAUKEE - VILLAGE OF THIENSVILLE WARDS 3-4,55089660100,0.9953917050691244
VILLAGE OF THIENSVILLE WARDS 3-4,OZAUKEE,OZAUKEE - VILLAGE OF THIENSVILLE WARDS 3-4,55089660301,0.004608294930875576
CITY OF DURAND WARDS 1-3,PEPIN,PEPIN - CITY OF DURAND WARDS 1-3,55091950100,1
TOWN OF ALBANY WARDS 1-2,PEPIN,PEPIN - TOWN OF ALBANY WARDS 1-2,55091950100,1
TOWN OF DURAND WARDS 1-2,PEPIN,PEPIN - TOWN OF DURAND WARDS 1-2,55091950100,1
TOWN OF FRANKFORT WARDS 1-2,PEPIN,PEPIN - TOWN OF FRANKFORT WARDS 1-2,55091950200,1
TOWN OF LIMA WARDS 1-2,PEPIN,PEPIN - TOWN OF LIMA WARDS 1-2,55091950100,1
TOWN OF PEPIN WARDS 1-2,PEPIN,PEPIN - TOWN OF PEPIN WARDS 1-2,55091950200,1
